antecedents,consequents,support,confidence,lift
frozenset({'Pulp Fiction'}),"frozenset({'Silence of the Lambs, The'})",0.24958949096880131,0.6229508196721312,1.686120218579235
"frozenset({'Silence of the Lambs, The'})",frozenset({'Pulp Fiction'}),0.24958949096880131,0.6755555555555556,1.686120218579235
frozenset({'Fight Club'}),"frozenset({'Matrix, The'})",0.20032840722495895,0.6815642458100559,1.869696512154613
frozenset({'Fight Club'}),frozenset({'Pulp Fiction'}),0.20032840722495895,0.6815642458100559,1.7011173184357542
"frozenset({""Schindler's List""})",frozenset({'Forrest Gump'}),0.17733990147783252,0.6171428571428572,1.509397590361446
"frozenset({""Schindler's List""})","frozenset({'Shawshank Redemption, The'})",0.21182266009852216,0.7371428571428572,1.6383941605839418
frozenset({'Star Wars: Episode IV - A New Hope'}),frozenset({'Star Wars: Episode V - The Empire Strikes Back'}),0.23645320197044334,0.7164179104477612,2.5970149253731343
frozenset({'Star Wars: Episode V - The Empire Strikes Back'}),frozenset({'Star Wars: Episode IV - A New Hope'}),0.23645320197044334,0.8571428571428571,2.5970149253731343
frozenset({'Star Wars: Episode V - The Empire Strikes Back'}),"frozenset({'Matrix, The'})",0.19047619047619047,0.6904761904761905,1.8941441441441442
frozenset({'Braveheart'}),frozenset({'Forrest Gump'}),0.17898193760262726,0.6566265060240964,1.6059660328059226
frozenset({'Braveheart'}),frozenset({'Pulp Fiction'}),0.16912972085385877,0.6204819277108433,1.5486618605569817
"frozenset({'Usual Suspects, The'})","frozenset({'Silence of the Lambs, The'})",0.16420361247947454,0.6134969325153374,1.6605316973415134
"frozenset({'Usual Suspects, The'})",frozenset({'Pulp Fiction'}),0.20361247947454844,0.7607361963190183,1.8987227195011565
"frozenset({'Usual Suspects, The'})","frozenset({'Shawshank Redemption, The'})",0.19376026272577998,0.7239263803680982,1.6090188527159555
frozenset({'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark)'}),frozenset({'Star Wars: Episode IV - A New Hope'}),0.18883415435139572,0.705521472392638,2.137624759637396
frozenset({'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark)'}),frozenset({'Star Wars: Episode V - The Empire Strikes Back'}),0.17405582922824303,0.6503067484662577,2.357361963190184
frozenset({'Star Wars: Episode V - The Empire Strikes Back'}),frozenset({'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark)'}),0.17405582922824303,0.630952380952381,2.3573619631901845
frozenset({'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark)'}),"frozenset({'Matrix, The'})",0.16912972085385877,0.6319018404907975,1.7334604543193497
frozenset({'American Beauty'}),"frozenset({'Matrix, The'})",0.16091954022988506,0.6447368421052632,1.768669985775249
frozenset({'American Beauty'}),frozenset({'Pulp Fiction'}),0.16584564860426929,0.6644736842105263,1.6584609577221743
